adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Houet,154469,BFA053001,BF5301,1599122,1,1471192,111939,15991,0,0,15991,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Kenedougou,154470,BFA053002,BF5302,423610,1,385485,33889,4236,0,0,4236,current,2,Jan-May,2021,2,Jan-May,2021,1,1,1,1,Y
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Tuy,154471,BFA053003,BF5303,348733,1,320835,20924,6975,0,0,6975,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Nord,40285,BFA054,BF54,Passore,154473,BFA054002,BF5402,485000,2,291000,145500,48500,0,0,48500,current,2,Jan-May,2021,2,Jan-May,2021,3,1,2,1,Y
Burkina Faso,42,BFA,BF,,Nord,40285,BFA054,BF54,Yatenga,154474,BFA054003,BF5403,874047,3,367100,262214,218512,26221,0,244733,current,2,Jan-May,2021,2,Jan-May,2021,2,4,3,1,Y
Burkina Faso,42,BFA,BF,,Nord,40285,BFA054,BF54,Zondoma,154475,BFA054004,BF5404,254222,1,216089,30507,7627,0,0,7627,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Bale,154444,BFA046001,BF4601,315048,1,267791,34655,12602,0,0,12602,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Banwa,154442,BFA046002,BF4602,366307,1,322350,36631,7326,0,0,7326,current,2,Jan-May,2021,2,Jan-May,2021,1,1,3,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Kossi,154443,BFA046003,BF4603,376802,2,290137,56520,30144,0,0,30144,current,2,Jan-May,2021,2,Jan-May,2021,2,1,3,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Mouhoun,154445,BFA046004,BF4604,414593,1,360696,45605,8292,0,0,8292,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Nayala,154446,BFA046005,BF4605,236355,1,205628,23635,7091,0,0,7091,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Boucle du Mouhoun,40276,BFA046,BF46,Sourou,154447,BFA046006,BF4606,301890,2,217360,39246,45283,0,0,45283,current,2,Jan-May,2021,2,Jan-May,2021,2,1,3,1,Y
Burkina Faso,42,BFA,BF,,Cascades,40277,BFA047,BF47,Comoe,154448,BFA047001,BF4701,670314,1,589876,67031,13406,0,0,13406,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Cascades,40277,BFA047,BF47,Leraba,154449,BFA047002,BF4702,190032,1,169128,19003,1900,0,0,1900,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
