adm0_name,phase3,phase4,phase5,phase35,chtype,exercise_label,exercise_year
Burkina Faso,15991,0,0,15991,current,Jan-May,2021
Burkina Faso,4236,0,0,4236,current,Jan-May,2021
Burkina Faso,6975,0,0,6975,current,Jan-May,2021
Burkina Faso,48500,0,0,48500,current,Jan-May,2021
Burkina Faso,218512,26221,0,244733,current,Jan-May,2021
Burkina Faso,7627,0,0,7627,current,Jan-May,2021
Burkina Faso,12602,0,0,12602,current,Jan-May,2021
Burkina Faso,7326,0,0,7326,current,Jan-May,2021
Burkina Faso,30144,0,0,30144,current,Jan-May,2021
Burkina Faso,8292,0,0,8292,current,Jan-May,2021
Burkina Faso,7091,0,0,7091,current,Jan-May,2021
Burkina Faso,45283,0,0,45283,current,Jan-May,2021
Burkina Faso,13406,0,0,13406,current,Jan-May,2021
Burkina Faso,1900,0,0,1900,current,Jan-May,2021
Burkina Faso,7804,0,0,7804,current,Jan-May,2021
Burkina Faso,26816,0,0,26816,current,Jan-May,2021
Burkina Faso,71185,0,0,71185,current,Jan-May,2021
Burkina Faso,125534,25107,0,150641,current,Jan-May,2021
Burkina Faso,81450,5430,0,86881,current,Jan-May,2021
Burkina Faso,253341,28149,0,281490,current,Jan-May,2021
Burkina Faso,73016,0,0,73016,current,Jan-May,2021
Burkina Faso,12444,0,0,12444,current,Jan-May,2021
Burkina Faso,7140,0,0,7140,current,Jan-May,2021
Burkina Faso,5121,0,0,5121,current,Jan-May,2021
Burkina Faso,8925,0,0,8925,current,Jan-May,2021
Burkina Faso,10362,0,0,10362,current,Jan-May,2021
Burkina Faso,6610,0,0,6610,current,Jan-May,2021
Burkina Faso,128519,0,0,128519,current,Jan-May,2021
Burkina Faso,78769,0,0,78769,current,Jan-May,2021
Burkina Faso,55589,0,0,55589,current,Jan-May,2021
Burkina Faso,16779,11186,0,27965,current,Jan-May,2021
Burkina Faso,12467,0,0,12467,current,Jan-May,2021
Burkina Faso,76931,0,0,76931,current,Jan-May,2021
Burkina Faso,52490,10498,0,62988,current,Jan-May,2021
Burkina Faso,10209,0,0,10209,current,Jan-May,2021
Burkina Faso,11519,0,0,11519,current,Jan-May,2021
Burkina Faso,16661,0,0,16661,current,Jan-May,2021
Burkina Faso,41887,16755,0,58642,current,Jan-May,2021
Burkina Faso,81345,21407,0,102752,current,Jan-May,2021
Burkina Faso,123281,30820,0,154102,current,Jan-May,2021
Burkina Faso,41187,1791,0,42978,current,Jan-May,2021
Burkina Faso,3255,0,0,3255,current,Jan-May,2021
Burkina Faso,8451,0,0,8451,current,Jan-May,2021
Burkina Faso,3143,0,0,3143,current,Jan-May,2021
Burkina Faso,18841,0,0,18841,current,Jan-May,2021
Mali,1870,0,0,1870,current,Jan-May,2021
Mali,2316,0,0,2316,current,Jan-May,2021
Mali,8850,0,0,8850,current,Jan-May,2021
Mali,9733,0,0,9733,current,Jan-May,2021
Mali,6825,0,0,6825,current,Jan-May,2021
Mali,6005,0,0,6005,current,Jan-May,2021
Mali,44101,3835,0,47936,current,Jan-May,2021
Mali,38890,1691,0,40581,current,Jan-May,2021
Mali,45250,0,0,45250,current,Jan-May,2021
Mali,16618,2374,0,18992,current,Jan-May,2021
Mali,10186,0,0,10186,current,Jan-May,2021
Mali,6155,0,0,6155,current,Jan-May,2021
Mali,7457,0,0,7457,current,Jan-May,2021
Mali,2863,0,0,2863,current,Jan-May,2021
Mali,12570,0,0,12570,current,Jan-May,2021
Mali,16633,0,0,16633,current,Jan-May,2021
Mali,2565,0,0,2565,current,Jan-May,2021
Mali,1945,0,0,1945,current,Jan-May,2021
Mali,973,0,0,973,current,Jan-May,2021
Mali,696,0,0,696,current,Jan-May,2021
Mali,699,0,0,699,current,Jan-May,2021
Mali,5551,0,0,5551,current,Jan-May,2021
Mali,7105,0,0,7105,current,Jan-May,2021
Mali,1459,0,0,1459,current,Jan-May,2021
Mali,13903,0,0,13903,current,Jan-May,2021
Mali,6757,0,0,6757,current,Jan-May,2021
Mali,6121,0,0,6121,current,Jan-May,2021
Mali,14061,0,0,14061,current,Jan-May,2021
Mali,109318,9110,0,118428,current,Jan-May,2021
Mali,88493,7695,0,96188,current,Jan-May,2021
Mali,9086,0,0,9086,current,Jan-May,2021
Mali,46589,0,0,46589,current,Jan-May,2021
Mali,32373,0,0,32373,current,Jan-May,2021
Mali,71991,5142,0,77133,current,Jan-May,2021
Mali,21443,0,0,21443,current,Jan-May,2021
Mali,16572,0,0,16572,current,Jan-May,2021
Mali,7885,0,0,7885,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,10292,0,0,10292,current,Jan-May,2021
Mali,15906,0,0,15906,current,Jan-May,2021
Mali,4848,0,0,4848,current,Jan-May,2021
Mali,10115,0,0,10115,current,Jan-May,2021
Mali,6427,0,0,6427,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,0,0,0,0,current,Jan-May,2021
Mali,6150,0,0,6150,current,Jan-May,2021
Mali,4781,0,0,4781,current,Jan-May,2021
Mali,35184,0,0,35184,current,Jan-May,2021
Mali,22588,0,0,22588,current,Jan-May,2021
Mali,10198,0,0,10198,current,Jan-May,2021
Mali,1175,0,0,1175,current,Jan-May,2021
Mali,7577,0,0,7577,current,Jan-May,2021
Niger,4197,0,0,4197,current,Jan-May,2021
Niger,12478,0,0,12478,current,Jan-May,2021
Niger,947,0,0,947,current,Jan-May,2021
Niger,3889,0,0,3889,current,Jan-May,2021
Niger,4111,0,0,4111,current,Jan-May,2021
Niger,15026,0,0,15026,current,Jan-May,2021
Niger,19253,2027,0,21280,current,Jan-May,2021
Niger,52731,10546,0,63277,current,Jan-May,2021
Niger,22575,6640,0,29215,current,Jan-May,2021
Niger,12171,0,0,12171,current,Jan-May,2021
Niger,1367,0,0,1367,current,Jan-May,2021
Niger,19379,1938,0,21317,current,Jan-May,2021
Niger,10571,0,0,10571,current,Jan-May,2021
Niger,1529,0,0,1529,current,Jan-May,2021
Niger,11207,0,0,11207,current,Jan-May,2021
Niger,14605,0,0,14605,current,Jan-May,2021
Niger,13743,0,0,13743,current,Jan-May,2021
Niger,2881,0,0,2881,current,Jan-May,2021
Niger,3650,0,0,3650,current,Jan-May,2021
